"Time (ms)","Recording (a.u.)"
7.000265162E0,-2.025608905E-3
7.021099284E0,-2.399473684E-3
7.041933407E0,-2.587545197E-3
7.062767529E0,-2.691291273E-3
7.083601652E0,-2.796350047E-3
7.104435774E0,-2.903881250E-3
7.125269897E0,-2.746788785E-3
7.146104019E0,-2.077646554E-3
7.166938142E0,-1.146076480E-3
7.187772264E0,-2.293066646E-4
7.208606387E0,5.721781636E-4
7.229440509E0,1.103082905E-3
7.250274632E0,1.138974098E-3
7.271108754E0,7.870343397E-4
7.291942877E0,5.969384802E-4
7.312776999E0,8.007265860E-4
7.333611122E0,1.013928093E-3
7.354445244E0,9.385013254E-4
7.375279367E0,8.476975490E-4
7.396113489E0,1.094874227E-3
7.416947612E0,1.512597548E-3
7.437781734E0,1.627648948E-3
7.458615857E0,1.222549472E-3
7.479449979E0,4.206409212E-4
7.500284102E0,-4.804054042E-4
7.521118224E0,-1.182172913E-3
7.541952347E0,-1.597731723E-3
7.562786469E0,-1.868462190E-3
7.583620592E0,-2.341261366E-3
7.604454714E0,-3.208667971E-3
7.625288837E0,-4.226050340E-3
7.646122959E0,-5.162823945E-3
7.666957082E0,-5.953310058E-3
7.687791204E0,-6.427101791E-3
7.708625327E0,-6.434882525E-3
7.729459449E0,-6.110510789E-3
7.750293572E0,-5.687098019E-3
7.771127694E0,-5.129848607E-3
7.791961817E0,-4.483353347E-3
7.812795939E0,-4.145276733E-3
7.833630062E0,-4.199502990E-3
7.854464184E0,-4.122360609E-3
7.875298307E0,-3.487409791E-3
7.896132429E0,-2.686494030E-3
7.916966552E0,-2.325749956E-3
7.937800674E0,-2.224501688E-3
7.958634797E0,-1.847233973E-3
7.979468919E0,-1.088611782E-3
8.000303042E0,-3.518187441E-4
8.021137164E0,1.516528428E-4
8.041971287E0,7.226234302E-4
8.062805409E0,1.497313613E-3
8.083639532E0,2.448702231E-3
8.104473654E0,3.474961966E-3
8.125307777E0,4.365219269E-3
8.146141899E0,4.963743500E-3
8.166976022E0,5.204663612E-3
8.187810144E0,5.453343969E-3
8.208644267E0,6.081028841E-3
8.229478389E0,6.931262091E-3
8.250312512E0,7.574028801E-3
8.271146634E0,7.782930508E-3
8.291980757E0,7.892157882E-3
8.312814879E0,8.245207369E-3
8.333649002E0,8.739466779E-3
8.354483124E0,9.020910598E-3
8.375317247E0,8.958104998E-3
8.396151369E0,8.836061694E-3
8.416985492E0,8.759871125E-3
8.437819614E0,8.555052802E-3
8.458653737E0,8.056234568E-3
8.479487859E0,7.227276452E-3
8.500321982E0,6.255567539E-3
8.521156104E0,5.349610932E-3
8.541990227E0,4.594045691E-3
8.562824349E0,3.970504738E-3
8.583658472E0,3.362276591E-3
8.604492594E0,2.697036602E-3
8.625326717E0,2.169751097E-3
8.646160839E0,2.044995781E-3
8.666994962E0,2.318430226E-3
8.687829084E0,2.816208871E-3
8.708663207E0,3.394181374E-3
8.729497329E0,3.960511647E-3
8.750331452E0,4.493589513E-3
8.771165574E0,5.109988619E-3
8.791999697E0,5.924168043E-3
8.812833819E0,6.939403713E-3
8.833667942E0,8.009068668E-3
8.854502064E0,9.053191170E-3
8.875336187E0,1.029569842E-2
8.896170309E0,1.181989629E-2
8.917004432E0,1.351179369E-2
8.937838554E0,1.505042426E-2
8.958672677E0,1.602503099E-2
8.979506799E0,1.647462323E-2
9.000340922E0,1.654465310E-2
9.021175045E0,1.634505019E-2
9.042009167E0,1.595510170E-2
9.062843290E0,1.531696599E-2
9.083677412E0,1.455486752E-2
9.104511535E0,1.368691213E-2
9.125345657E0,1.250217296E-2
9.146179780E0,1.094394550E-2
9.167013902E0,9.167362005E-3
9.187848025E0,7.441252004E-3
9.208682147E0,5.915754475E-3
9.229516270E0,4.503064323E-3
9.250350392E0,3.097754437E-3
9.271184515E0,1.791912713E-3
9.292018637E0,6.741709658E-4
9.312852760E0,-1.639856782E-4
9.333686882E0,-5.090123741E-4
9.354521005E0,-4.482591758E-4
9.375355127E0,-2.583521418E-4
9.396189250E0,-4.406760127E-5
9.417023372E0,1.723748865E-4
9.437857495E0,4.432546557E-4
9.458691617E0,8.396217017E-4
9.479525740E0,1.455753110E-3
9.500359862E0,2.326216083E-3
9.521193985E0,3.262575716E-3
9.542028107E0,4.089812282E-3
9.562862230E0,4.813727923E-3
9.583696352E0,5.613224581E-3
9.604530475E0,6.526419893E-3
9.625364597E0,7.117858157E-3
9.646198720E0,7.174669765E-3
9.667032842E0,6.904305890E-3
9.687866965E0,6.329172291E-3
9.708701087E0,5.487239454E-3
9.729535210E0,4.669037648E-3
9.750369332E0,4.297432490E-3
9.771203455E0,4.383047111E-3
9.792037577E0,4.294548184E-3
9.812871700E0,3.593208268E-3
9.833705822E0,2.429408953E-3
9.854539945E0,1.159331878E-3
9.875374067E0,-7.461768109E-5
9.896208190E0,-1.238680677E-3
9.917042312E0,-2.237009583E-3
9.937876435E0,-3.185273847E-3
9.958710557E0,-4.406813066E-3
9.979544680E0,-5.877821241E-3
1.000037880E1,-7.095529232E-3
1.002121292E1,-7.857738063E-3
1.004204705E1,-8.426782675E-3
1.006288117E1,-8.988223039E-3
1.008371529E1,-9.509591386E-3
1.010454941E1,-9.961089119E-3
1.012538354E1,-1.044096798E-2
1.014621766E1,-1.078650355E-2
1.016705178E1,-1.070284843E-2
1.018788590E1,-1.039934251E-2
1.020872003E1,-1.031957287E-2
1.022955415E1,-1.042920537E-2
1.025038827E1,-1.023223624E-2
1.027122239E1,-9.537453763E-3
1.029205652E1,-8.756099269E-3
1.031289064E1,-8.177337237E-3
1.033372476E1,-7.607530802E-3
1.035455888E1,-6.925161928E-3
1.037539301E1,-6.271296181E-3
1.039622713E1,-5.590768997E-3
1.041706125E1,-4.591999575E-3
1.043789537E1,-3.359005786E-3
1.045872950E1,-2.427929547E-3
1.047956362E1,-2.009705408E-3
1.050039774E1,-1.853588154E-3
1.052123186E1,-1.872025430E-3
1.054206599E1,-2.153861802E-3
1.056290011E1,-2.473282861E-3
1.058373423E1,-2.397440840E-3
1.060456835E1,-2.064731438E-3
1.062540248E1,-2.047048183E-3
1.064623660E1,-2.427050378E-3
1.066707072E1,-2.815958112E-3
1.068790484E1,-2.944360953E-3
1.070873897E1,-2.937153913E-3
1.072957309E1,-2.980911871E-3
1.075040721E1,-3.046351019E-3
1.077124133E1,-3.068638500E-3
1.079207546E1,-3.182429587E-3
1.081290958E1,-3.351539373E-3
1.083374370E1,-3.076038091E-3
1.085457782E1,-2.339696744E-3
1.087541195E1,-1.631541643E-3
1.089624607E1,-1.130098361E-3
1.091708019E1,-6.169679691E-4
1.093791431E1,2.073837095E-4
1.095874844E1,1.179968822E-3
1.097958256E1,1.976506086E-3
1.100041668E1,2.528159646E-3
1.102125080E1,2.828779863E-3
1.104208493E1,2.884931164E-3
1.106291905E1,2.785257064E-3
1.108375317E1,2.655552700E-3
1.110458729E1,2.435070463E-3
1.112542142E1,2.035811543E-3
1.114625554E1,1.562447054E-3
1.116708966E1,1.183129614E-3
1.118792378E1,8.682352491E-4
1.120875791E1,3.842278093E-4
1.122959203E1,-2.614617697E-4
1.125042615E1,-7.213658537E-4
1.127126028E1,-7.511917502E-4
1.129209440E1,-6.077896105E-4
1.131292852E1,-6.044690963E-4
1.133376264E1,-6.983783678E-4
1.135459677E1,-7.754880353E-4
1.137543089E1,-8.977553807E-4
1.139626501E1,-1.138544409E-3
1.141709913E1,-1.203095540E-3
1.143793326E1,-9.390664054E-4
1.145876738E1,-6.762733683E-4
1.147960150E1,-8.257902809E-4
1.150043562E1,-1.403889037E-3
1.152126975E1,-1.752405427E-3
1.154210387E1,-1.531647984E-3
1.156293799E1,-1.213837881E-3
1.158377211E1,-1.183705637E-3
1.160460624E1,-1.408247044E-3
1.162544036E1,-1.762874890E-3
1.164627448E1,-2.244598465E-3
1.166710860E1,-2.925749868E-3
1.168794273E1,-3.660680261E-3
1.170877685E1,-4.321388900E-3
1.172961097E1,-5.092202686E-3
1.175044509E1,-5.968079437E-3
1.177127922E1,-6.774705369E-3
1.179211334E1,-7.402210496E-3
1.181294746E1,-7.915914990E-3
1.183378158E1,-8.400218561E-3
1.185461571E1,-8.581508882E-3
1.187544983E1,-8.548377082E-3
1.189628395E1,-8.594952524E-3
1.191711807E1,-8.532494307E-3
1.193795220E1,-8.121252060E-3
1.195878632E1,-7.201682776E-3
1.197962044E1,-6.029070355E-3
1.200045456E1,-5.060116760E-3
1.202128869E1,-4.335611593E-3
1.204212281E1,-3.733704798E-3
1.206295693E1,-3.045298625E-3
1.208379105E1,-2.154716756E-3
1.210462518E1,-1.161493245E-3
1.212545930E1,-1.733955287E-4
1.214629342E1,7.031030837E-4
1.216712754E1,1.360064838E-3
1.218796167E1,1.719036838E-3
1.220879579E1,1.686140429E-3
1.222962991E1,1.211323775E-3
1.225046403E1,3.986247466E-4
1.227129816E1,-6.545633660E-4
1.229213228E1,-1.837357879E-3
1.231296640E1,-3.054907778E-3
1.233380052E1,-4.269957542E-3
1.235463465E1,-5.281565711E-3
1.237546877E1,-6.050737575E-3
1.239630289E1,-6.830886938E-3
1.241713701E1,-7.887119427E-3
1.243797114E1,-9.215686470E-3
1.245880526E1,-1.043656282E-2
1.247963938E1,-1.136053354E-2
1.250047350E1,-1.204869337E-2
1.252130763E1,-1.245190762E-2
1.254214175E1,-1.266264357E-2
1.256297587E1,-1.289211400E-2
1.258380999E1,-1.310975477E-2
1.260464412E1,-1.300914772E-2
1.262547824E1,-1.215979457E-2
1.264631236E1,-1.066685840E-2
1.266714648E1,-9.303653613E-3
1.268798061E1,-8.547025733E-3
1.270881473E1,-8.093650453E-3
1.272964885E1,-7.353124674E-3
1.275048297E1,-6.119148806E-3
1.277131710E1,-4.509958904E-3
1.279215122E1,-2.956736367E-3
1.281298534E1,-1.973986393E-3
1.283381946E1,-1.648147590E-3
1.285465359E1,-1.628603204E-3
1.287548771E1,-1.311859349E-3
1.289632183E1,-6.517934380E-4
1.291715595E1,1.550256275E-5
1.293799008E1,5.021560355E-4
1.295882420E1,7.246222231E-4
1.297965832E1,9.640853386E-4
1.300049244E1,1.335895620E-3
1.302132657E1,1.763861044E-3
1.304216069E1,2.155385679E-3
1.306299481E1,2.257987857E-3
1.308382893E1,2.055931371E-3
1.310466306E1,1.552976435E-3
1.312549718E1,7.692035870E-4
1.314633130E1,-7.488951087E-5
1.316716542E1,-7.835688884E-4
1.318799955E1,-1.128019649E-3
1.320883367E1,-1.007532002E-3
1.322966779E1,-5.822490784E-4
1.325050191E1,-7.913500303E-5
1.327133604E1,4.077579651E-4
1.329217016E1,9.455206455E-4
1.331300428E1,1.708905445E-3
1.333383840E1,2.738040173E-3
1.335467253E1,3.758267500E-3
1.337550665E1,4.594480153E-3
1.339634077E1,5.214535631E-3
1.341717489E1,5.829635076E-3
1.343800902E1,6.836311426E-3
1.345884314E1,8.211479522E-3
1.347967726E1,9.737996385E-3
1.350051138E1,1.106928661E-2
1.352134551E1,1.198252663E-2
1.354217963E1,1.285661571E-2
1.356301375E1,1.398760080E-2
1.358384787E1,1.520153228E-2
1.360468200E1,1.604930125E-2
1.362551612E1,1.623514108E-2
1.364635024E1,1.611455157E-2
1.366718436E1,1.606273651E-2
1.368801849E1,1.592956483E-2
1.370885261E1,1.556625124E-2
1.372968673E1,1.490084827E-2
1.375052085E1,1.384750009E-2
1.377135498E1,1.244088728E-2
1.379218910E1,1.081350818E-2
1.381302322E1,9.346246719E-3
1.383385734E1,8.066692390E-3
1.385469147E1,6.567097269E-3
1.387552559E1,4.890139680E-3
1.389635971E1,3.358862828E-3
1.391719383E1,2.040999010E-3
1.393802796E1,6.759500830E-4
1.395886208E1,-8.678968879E-4
1.397969620E1,-2.361743012E-3
1.400053032E1,-3.460478270E-3
1.402136445E1,-4.055315629E-3
1.404219857E1,-4.369070753E-3
1.406303269E1,-4.493184388E-3
1.408386681E1,-4.461908247E-3
1.410470094E1,-4.269487690E-3
1.412553506E1,-3.906844184E-3
1.414636918E1,-3.331549466E-3
1.416720330E1,-2.410459332E-3
1.418803743E1,-1.458816929E-3
1.420887155E1,-7.995832129E-4
1.422970567E1,-5.864766426E-4
1.425053979E1,-7.420709007E-4
1.427137392E1,-7.474441081E-4
1.429220804E1,-4.204374272E-4
1.431304216E1,9.817079990E-5
1.433387628E1,5.460049142E-4
1.435471041E1,6.897131680E-4
1.437554453E1,7.290142239E-4
1.439637865E1,9.851655923E-4
1.441721277E1,1.319477335E-3
1.443804690E1,1.352184918E-3
1.445888102E1,1.218148274E-3
1.447971514E1,1.253607916E-3
1.450054926E1,1.516106189E-3
1.452138339E1,1.770640840E-3
1.454221751E1,1.824920066E-3
1.456305163E1,1.888708095E-3
1.458388575E1,1.910654246E-3
1.460471988E1,1.721155248E-3
1.462555400E1,1.381760929E-3
1.464638812E1,9.979277384E-4
1.466722224E1,7.863912033E-4
1.468805637E1,5.420515081E-4
1.470889049E1,1.239743578E-4
1.472972461E1,-2.410922752E-4
1.475055873E1,-5.836685887E-4
1.477139286E1,-9.332204936E-4
1.479222698E1,-1.505522639E-3
1.481306110E1,-2.572048455E-3
1.483389522E1,-3.984116018E-3
1.485472935E1,-5.452737678E-3
1.487556347E1,-6.762659643E-3
1.489639759E1,-7.907220162E-3
1.491723171E1,-9.104760364E-3
1.493806584E1,-1.033967175E-2
1.495889996E1,-1.117397472E-2
1.497973408E1,-1.147304662E-2
1.500056820E1,-1.147939637E-2
1.502140233E1,-1.136164740E-2
1.504223645E1,-1.132245734E-2
1.506307057E1,-1.143996883E-2
1.508390469E1,-1.155865565E-2
1.510473882E1,-1.135715563E-2
1.512557294E1,-1.056628767E-2
1.514640706E1,-9.384952486E-3
1.516724118E1,-8.244810626E-3
1.518807531E1,-7.197651081E-3
1.520890943E1,-5.860311911E-3
1.522974355E1,-4.053430166E-3
1.525057767E1,-2.117445925E-3
1.527141180E1,-4.347813665E-4
1.529224592E1,8.083411376E-4
1.531308004E1,1.718434505E-3
1.533391416E1,2.662040759E-3
1.535474829E1,3.699396737E-3
1.537558241E1,4.602325149E-3
1.539641653E1,5.243564025E-3
1.541725065E1,5.405528937E-3
1.543808478E1,4.888630472E-3
1.545891890E1,3.994916100E-3
1.547975302E1,3.170903306E-3
1.550058714E1,2.486799844E-3
1.552142127E1,1.864970080E-3
1.554225539E1,1.251227455E-3
1.556308951E1,5.667852820E-4
1.558392363E1,-3.047545615E-4
1.560475776E1,-1.239391742E-3
1.562559188E1,-1.957543660E-3
1.564642600E1,-2.655107295E-3
1.566726012E1,-3.606776241E-3
1.568809425E1,-4.562550224E-3
1.570892837E1,-5.020747893E-3
1.572976249E1,-4.789668135E-3
1.575059661E1,-4.297555424E-3
1.577143074E1,-3.883160185E-3
1.579226486E1,-3.217338119E-3
1.581309898E1,-1.858204138E-3
1.583393310E1,1.704228343E-4
1.585476723E1,2.313118428E-3
1.587560135E1,4.009260330E-3
1.589643547E1,5.331917666E-3
1.591726959E1,6.722917780E-3
1.593810372E1,8.402897045E-3
1.595893784E1,1.028369367E-2
1.597977196E1,1.206729282E-2
1.600060608E1,1.353641320E-2
1.602144021E1,1.471491065E-2
1.604227433E1,1.566312462E-2
1.606310845E1,1.656056195E-2
1.608394257E1,1.765608788E-2
1.610477670E1,1.883626916E-2
1.612561082E1,1.956596226E-2
1.614644494E1,1.945505291E-2
1.616727906E1,1.873412170E-2
1.618811319E1,1.785349101E-2
1.620894731E1,1.707490534E-2
1.622978143E1,1.641795784E-2
1.625061555E1,1.552831382E-2
1.627144968E1,1.397854090E-2
1.629228380E1,1.176891662E-2
1.631311792E1,9.302484803E-3
1.633395204E1,6.943343207E-3
1.635478617E1,4.806716926E-3
1.637562029E1,2.797272755E-3
1.639645441E1,8.423423278E-4
1.641728853E1,-8.503688732E-4
1.643812266E1,-2.300880617E-3
1.645895678E1,-3.678798210E-3
1.647979090E1,-4.813039210E-3
